PlayerID,TeamAbbName,TeamID,PlayerJerseyNumber,PlayerName,PlayerPosition,PlayerHeight,PlayerWeight,PlayerAge,PlayerExperience,PlayerCollege,PlayerSalary
8571,ari,159,2,"Richard Bartel","QB","6-3",230,28,"3","Tarleton State","N/A"
7834,ari,159,14,"Brodie Croyle","QB","6-2",206,28,"6","Alabama","N/A"
24281,ari,159,6,"Max Hall","QB","6-1",205,25,"2","Brigham Young","N/A"
8290,ari,159,4,"Kevin Kolb","QB","6-3",218,27,"5","Houston","N/A"
24131,ari,159,19,"John Skelton","QB","6-6",244,23,"2","Fordham","N/A"
8546,ari,159,42,"Charles Ali","FB","6-2",255,27,"3","Arkansas-Pine Bluff","N/A"
8435,ari,159,45,"Reagan Maui'a","FB","6-0",265,27,"4","Hawaii","N/A"
25209,ari,159,37,"William Powell","RB","5-9",207,N/A,"R","Kansas State","N/A"
24923,ari,159,35,"Anthony Sherman","FB","5-10",242,22,"R","Connecticut","N/A"
24287,ari,159,46,"Alfonso Smith","RB","6-1",208,24,"2","Kentucky","N/A"
9504,ari,159,36,"LaRod Stephens-Howling","KR/RB","5-7",185,24,"3","Pittsburgh","N/A"
9295,ari,159,26,"Beanie Wells","RB","6-2",229,23,"3","Ohio State","N/A"
24825,ari,159,34,"Ryan Williams","RB","5-9",207,21,"R","Virginia Tech","N/A"
25199,ari,159,16,"Daiveun Curry-Chapman","WR","6-2",195,23,"R","Northern Arizona","N/A"
8858,ari,159,85,"Early Doucet","WR","6-0",212,25,"4","LSU","N/A"
24208,ari,159,81,"Jim Dray","TE","6-5",255,24,"2","Stanford","N/A"
6762,ari,159,11,"Larry Fitzgerald","WR","6-3",218,27,"8","Pittsburgh","N/A"
5478,ari,159,86,"Todd Heap","TE","6-5",252,31,"11","Arizona State","N/A"
24856,ari,159,84,"Rob Housler","TE","6-5",250,23,"R","Florida Atlantic","N/A"
25202,ari,159,15,"Sean Jeffcoat","WR","6-2",200,22,"R","Elon","N/A"
7904,ari,159,87,"Jeff King","TE","6-3",260,28,"6","Virginia Tech","N/A"
24288,ari,159,10,"Max Komar","WR","5-11",202,23,"2","Idaho","N/A"
25206,ari,159,13,"Aaron Nichols","WR","6-0",185,23,"R","Oregon State","N/A"
24063,ari,159,12,"Andre Roberts","PR/KR/WR","5-11",195,23,"2","Citadel","N/A"
25036,ari,159,89,"DeMarco Sampson","WR","6-2",204,25,"R","San Diego State","N/A"
25211,ari,159,44,"Stephen Skelton","TE","6-5",250,22,"R","Fordham","N/A"
7440,ari,159,83,"Stephen Spach","TE","6-4",260,29,"6","Fresno State","N/A"
8489,ari,159,17,"Chansi Stuckey","WR","6-0",196,27,"5","Clemson","N/A"
24696,ari,159,80,"Isaiah Williams","WR","6-3",200,24,"1","Maryland","N/A"
24289,ari,159,18,"Stephen Williams","WR","6-5",208,25,"2","Toledo","N/A"
8086,ari,159,74,"D'Anthony Batiste","LOT","6-4",314,29,"6","Louisiana-Lafayette","N/A"
6521,ari,159,73,"Jeremy Bridges","ROT","6-5",318,31,"9","Southern Miss","N/A"
8259,ari,159,75,"Levi Brown","LOT","6-6",324,27,"5","Penn State","N/A"
6493,ari,159,62,"Ben Claxton","C","6-3",300,31,"4","Mississippi","N/A"
7796,ari,159,71,"Daryn Colledge","LOG","6-4",308,29,"6","Boise State","N/A"
6933,ari,159,70,"Rex Hadnot","ROG","6-2",310,29,"8","Houston","N/A"
9002,ari,159,72,"Brandon Keith","ROT","6-5",335,26,"4","Northern Iowa","N/A"
8631,ari,159,65,"Cliff Louis","ROG","6-8",315,27,"1","Morgan State","N/A"
7790,ari,159,76,"Deuce Lutui","ROG","6-4",338,28,"6","USC","N/A"
25482,ari,159,69,"Eric Mensik","ROT","6-6",288,23,"R","Oklahoma","N/A"
25208,ari,159,60,"Kris O'Dowd","C","6-4",304,23,"R","USC","N/A"
9772,ari,159,68,"Tom Pestock","LOG","6-6",318,26,"1","Northwest Missouri State","N/A"
8550,ari,159,63,"Lyle Sendlein","C","6-3",308,27,"5","Texas","N/A"
25213,ari,159,61,"Jason Speredon","ROT","6-5",308,26,"R","Brigham Young","N/A"
5576,ari,159,78,"Floyd Womack","LOG","6-4",328,32,"11","Mississippi State","N/A"
25216,ari,159,67,"D.J. Young","LOT","6-5",298,23,"R","Michigan State","N/A"
8827,ari,159,93,"Calais Campbell","DE","6-8",300,24,"4","Miami (FL)","N/A"
24971,ari,159,79,"David Carter","NT","6-5",300,23,"R","UCLA","N/A"
6823,ari,159,90,"Darnell Dockett","DT","6-4",290,30,"8","Florida State","N/A"
6450,ari,159,98,"Nick Eason","DT","6-3",305,31,"9","Clemson","N/A"
4282,ari,159,91,"Vonnie Holliday","DE","6-5",288,35,"14","North Carolina","N/A"
